TacticalCell,areaName,areaType,date,newCasesBySpecimenDate,newCasesBySpecimenDateChangePercentage,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateRollingSum,LAD19CD,clean_areaNames
North,Hartlepool,ltla,2021-05-14,0,0,11.7,11,E06000001,Hartlepool
North,Middlesbrough,ltla,2021-05-14,8,-10.6,41.8,59,E06000002,Middlesbrough
North,Redcar and Cleveland,ltla,2021-05-14,3,-15.8,11.7,16,E06000003,Redcar and Cleveland
North,Stockton-on-Tees,ltla,2021-05-14,7,-41.1,16.7,33,E06000004,Stockton-on-Tees
North,Darlington,ltla,2021-05-14,0,-43.8,8.4,9,E06000005,Darlington
North,Halton,ltla,2021-05-14,4,-5.3,13.9,18,E06000006,Halton
North,Warrington,ltla,2021-05-14,3,9.1,11.4,24,E06000007,Warrington
North,Blackburn with Darwen,ltla,2021-05-14,44,52.7,131.6,197,E06000008,Blackburn with Darwen
North,Blackpool,ltla,2021-05-14,3,44.1,35.1,49,E06000009,Blackpool
North,"Kingston upon Hull, City of",ltla,2021-05-14,4,-36.4,18.9,49,E06000010,"Kingston upon Hull, City of"
North,East Riding of Yorkshire,ltla,2021-05-14,8,18.1,24.9,85,E06000011,East Riding of Yorkshire
Central,North East Lincolnshire,ltla,2021-05-14,1,23.8,16.3,26,E06000012,North East Lincolnshire
Central,North Lincolnshire,ltla,2021-05-14,1,-9.5,38.9,67,E06000013,North Lincolnshire
North,York,ltla,2021-05-14,3,-12.9,12.8,27,E06000014,York
Central,Derby,ltla,2021-05-14,1,-20,12.4,32,E06000015,Derby
Central,Leicester,ltla,2021-05-14,29,29.9,49.1,174,E06000016,Leicester
Central,Nottingham,ltla,2021-05-14,14,-10.8,29.7,99,E06000018,Nottingham
Central,Rutland,ltla,2021-05-14,1,80,22.5,9,E06000017,Rutland
Central,"Herefordshire, County of",ltla,2021-05-14,10,-8.5,22.3,43,E06000019,"Herefordshire, County of"
Central,Telford and Wrekin,ltla,2021-05-14,4,38.9,13.9,25,E06000020,Telford and Wrekin
Central,Stoke-on-Trent,ltla,2021-05-14,4,7.1,23.4,60,E06000021,Stoke-on-Trent
South and the Channel Islands,Bath and North East Somerset,ltla,2021-05-14,3,45,15,29,E06000022,Bath and North East Somerset
South and the Channel Islands,"Bristol, City of",ltla,2021-05-14,5,47.5,12.7,59,E06000023,"Bristol, City of"
South and the Channel Islands,North Somerset,ltla,2021-05-14,1,-54.5,7,15,E06000024,North Somerset
South and the Channel Islands,South Gloucestershire,ltla,2021-05-14,4,-51.1,7.7,22,E06000025,South Gloucestershire
South and the Channel Islands,Plymouth,ltla,2021-05-14,4,-44.6,13.7,36,E06000026,Plymouth
South and the Channel Islands,Torbay,ltla,2021-05-14,1,-13.3,9.5,13,E06000027,Torbay
South and the Channel Islands,"Bournemouth, Christchurch and Poole",ltla,2021-05-14,3,14.3,10.1,40,E06000058,"Bournemouth, Christchurch and Poole"
South and the Channel Islands,Swindon,ltla,2021-05-14,6,11.8,17.1,38,E06000030,Swindon
Central,Peterborough,ltla,2021-05-14,4,-15.6,26.7,54,E06000031,Peterborough
South East,Luton,ltla,2021-05-14,15,6.2,32.4,69,E06000032,Luton
South East,Southend-on-Sea,ltla,2021-05-14,1,10.5,11.5,21,E06000033,Southend-on-Sea
South East,Thurrock,ltla,2021-05-14,1,42.9,11.5,20,E06000034,Thurrock
