LAD19CD,TacticalCell,LAD_int_Proportion of neighbourhoods in 20% most digitally excluded,LAD_int_Percentage of population who are ethnic minority,"LAD_int_Latest COVID-19 cases per 100,000",LAD_int_Fuel Poor Households,LAD_int_Homelessness (rate per 1000),LAD_int_Clinically extremely vulnerable,LAD_int_Unemployed receiving Universal Credit,LAD_int_People receiving Section 95 support,LAD_perc_Proportion of neighbourhoods in 20% most digitally excluded,LAD_perc_Percentage of population who are ethnic minority,"LAD_perc_Latest COVID-19 cases per 100,000",LAD_perc_Fuel Poor Households,LAD_perc_Homelessness (rate per 1000),LAD_perc_Clinically extremely vulnerable,LAD_perc_Unemployed receiving Universal Credit,LAD_perc_People receiving Section 95 support,tc_int_Proportion of neighbourhoods in 20% most digitally excluded,tc_int_Percentage of population who are ethnic minority,"tc_int_Latest COVID-19 cases per 100,000",tc_int_Fuel Poor Households,tc_int_Homelessness (rate per 1000),tc_int_Clinically extremely vulnerable,tc_int_Unemployed receiving Universal Credit,tc_int_People receiving Section 95 support,tc_perc_Proportion of neighbourhoods in 20% most digitally excluded,tc_perc_Percentage of population who are ethnic minority,"tc_perc_Latest COVID-19 cases per 100,000",tc_perc_Fuel Poor Households,tc_perc_Homelessness (rate per 1000),tc_perc_Clinically extremely vulnerable,tc_perc_Unemployed receiving Universal Credit,tc_perc_People receiving Section 95 support
E06000001,North,NA,NA,561.59,4274,1.017,4610,9194,272,0.5833333333333334,2.3,NA,10.1,NA,4.9,9.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000002,North,NA,NA,439.78,7092,0.613,7040,12703,530,0.5263157894736842,17.7,NA,11.9,NA,5,9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000003,North,NA,NA,478.31,6385,0.591,6350,8280,111,0.47368421052631576,2.3,NA,10.3,NA,4.6,6.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000004,North,NA,NA,430.2,7474,0.492,9115,11803,640,0.4166666666666667,7.8,NA,9,NA,4.6,6,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000005,North,NA,NA,352.99,4402,0.281,5265,6258,198,0.3333333333333333,4,NA,9,NA,4.9,5.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000006,North,NA,NA,238.78,6085,0.457,6350,9970,195,0.25,2.7,NA,10.9,NA,4.9,7.8,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000007,North,NA,NA,259.51,8110,2.057,8290,10425,25,0.08,6.6,NA,9.1,NA,4,5,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000008,North,NA,NA,509.7,8793,0.789,5630,11650,315,0.16666666666666666,34.3,NA,14.6,NA,3.8,7.8,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000009,North,NA,NA,287.57,10280,1.092,6800,13578,NA,0,2.4,NA,15.2,NA,4.9,9.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000010,North,NA,NA,736.78,12445,3.809,11520,20083,497,0.5,4.8,NA,10.6,NA,4.4,7.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000011,North,NA,NA,427.94,14027,1.822,14655,11838,NA,0.23255813953488372,1.8,NA,9.4,NA,4.3,3.5,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000012,Central,NA,NA,495.1,7380,1.464,6620,11142,76,0.5217391304347826,3.2,NA,10.1,NA,4.1,7,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000013,Central,NA,NA,468.97,7222,1,7030,9072,3,0.08695652173913043,4.8,NA,9.8,NA,4.1,5.3,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000014,North,NA,NA,171.4,7408,1.076,7620,7080,NA,0.041666666666666664,5.2,NA,8.5,NA,3.6,3.4,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E06000015,Central,NA,NA,382.43,12611,4.345,8375,15950,817,0.22580645161290322,19.6,NA,11.6,NA,3.3,6.2,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000016,Central,NA,NA,494.32,19078,0.827,13450,24043,802,0.35135135135135137,53.3,NA,14.6,NA,3.8,6.8,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000018,Central,NA,NA,245.72,18666,4.128,10760,21825,849,0.4473684210526316,29.2,NA,13.9,NA,3.3,6.6,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000017,Central,NA,NA,120.22,1744,1.902,1220,1090,1,0,NA,NA,10.9,NA,3.1,2.7,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E06000019,Central,NA,NA,183.09,10682,0.505,7095,6661,NA,0.43478260869565216,1.5,NA,12.9,NA,3.7,3.5,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
