Title,Relevance/Include?,Organisation,Theme,Resource Type,Description / Usage,Last updated,Link
VCS EP Insights Packs,NO,VCS EP,All,PDF reports,"Insights packs and reports from various members of the partnership, as well as historical pulse survey reports.",,https://vcsep.org.uk/insights
Doctors of the world 12-month vaccine programme,YES,Doctors without borders,Health,Artcile,,,https://www.doctorsoftheworld.org.uk/news/doctors-of-the-world-launches-covid19-vaccine-project/ 
FareShare Dashboard,NO,FareShare,Food,Dashboard,"FareShare provide a range of data on their activities, including tonnage of food distributed by month, region, type, supplier.",,Link should not be made available outside of insights team
Vaccine Hesitancy Map,YES,British Red Cross,Covid,Map,Map shows vaccine hesitancy. This captures how willing people are to take a COVID-19 vaccine. This is shown as a vaccine willingness score out of five (with five being the most unwilling),,MISSING LINK
Covid Age Calculator,NO,ALAMA,Covid,Dashboard,"Calculates indicative Covid-age for adults aged 20-75. Estimates are derived from published research in populations with no previous infection by, or vaccination against, SARS-CoV-2.",,MISSING LINK
Covid Dashboard,NO,NPC,Covid,Dashboard,Pulls together open data to support funders around covid-19,,MISSING LINK
International Disaster Response Dashboard,NO,IFRC,International,Dashboard,"IFRC GO aims to make all disaster information universally accessible and useful to IFRC responders for better decision making. Includes stats on active DREF operations, funding requirements and active emergency appeals",,https://go.ifrc.org/
Zoe App,YES,Kings college,Covid,Website and mobile App,"Web page updates every day, based on the information from millions of users of the COVID Symptom Study app, the largest community monitoring of COVID in the world.",,https://covid.joinzoe.com/data
Lockdown Dashboard,YES,British Red Cross,Covid,Dashboard,"Find sites to use for COVID-19 mobile testing, including car parks and hospitals in or near highly vulnerable areas.",,https://vcsep-local-lockdown-app.azurewebsites.net/
Local Assets Map,YES,VCS EP,All,Map,"Pinpoints local assets to support with operational response to emergencies, including locations of Local Infrastructure Organisations, Care Homes, Food Banks etc.",,MISSING LINK
London Community Response Survey,YES,Greater London Authority,Covid,Survey Results (PDF),Results of a weekly questionnaire sent to a cohort of frontline civil society organisations from April 2020. The results are being used alongside a range of other pieces of intelligence to inform the pan-London response to the COVID-19 pandemic.,,https://data.london.gov.uk/dataset/london-community-response-survey
Small Charities Data,,Small Charities Data,All,Website,,,MISSING LINK
Flood Warning Service,,,Flooding,Website,,,MISSING LINK
Local ethnic inequalities and dynamics of diversity,,Centre on the Dynamics of Ethnicity,"Equality, Diversity and Inclusion",Briefing,Series of census briefings for each of the case study site locations and commissioned census briefings for selected local authorities.,,https://www.ethnicity.ac.uk/research/briefings/local-ethnic-inequalities-and-dynamics-of-diversity/
CHLDRN,YES,Childrens Commission,Children and Young People,Data Library,"Childhood Local Data on Risks and Needs (CHLDRN) provides the most complete picture of the numbers of children at risk in England, at both a national and local level.",,https://www.childrenscommissioner.gov.uk/chldrn/
Time to Spare,,,,,,,https://timetospare.com/product/referrals
Index of Multiple Deprivation,YES,ONS,Deprivation,Index Map,A street level visualisation of the Indices of Multiple Deprivation from the Office for National Statistics,,MISSING LINK
London COVID-19 Resilience Dashboard,YES,Greater London Authority,Covid,Dashboard,Outcome data to monitor the impact of Covid-19 on the lives of Londoners. Dashboard is structured around the 5 outcomes agreed by London’s Recovery Board,,https://airdrive-secure.s3-eu-west-1.amazonaws.com/london/dataset/london-resilience-dashboard/2021-02-12T17%3A18%3A31/dash_rec2.html?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAJJDIMAIVZJDICKHA%2F20210217%2Feu-west-1%2Fs3%2Faws4_request&X-Amz-Date=20210217T132002Z&X-Amz-Expires=300&X-Amz-Signature=8e59573f7f95abecf2ef98d133bb9f0c5e5389dcb8411c1e813082e7f74df146&X-Amz-SignedHeaders=host
Mass Testing Volunteers for Schools,YES,Time 2 Spare,Covid,Tool,Find mass testing volunteers based on the name of either a primary or secondary school.,,https://help.timetospare.com/mass-testing-volunteers
Voluntary Sector Impact Berometer,YES,NTU,"Covid, Voluntary Sector,",Dashboard,"This project examines COVID-19 impact on voluntary, community and social enterprise (VCSE) organisations. In particular, it focuses on providing real-time data about how the pandemic is impacting voluntary organisations working-practices and operations, their responses, learning and resilience.",,https://app.powerbi.com/view?r=eyJrIjoiNDg4ZTE4Y2UtN2RkMS00Y2I1LTgwNzUtNmY0Njg3NDg5MTVkIiwidCI6IjhhY2JjMmM1LWM4ZWQtNDJjNy04MTY5LWJhNDM4YTBkYmUyZiIsImMiOjh9
Talk London,,,,,Method of community to raise concerns,,https://www.london.gov.uk/talk-london/
BRC Resiience Index,,BRC,,,,,
Coronavirus Dashboard,,Gov.UK,Covid,Dashboard,The official UK government website for data and insights on coronavirus (COVID-19).,,https://coronavirus.data.gov.uk/
